Date,Rank,Symbol,Name,MarketCap,Price
2024-01-01,1,BTC,Bitcoin,"$865,106,026,911.10","$44,167.3302"
2024-01-01,2,ETH,Ethereum,"$282,712,004,769.55","$2,352.3279"
2024-01-01,3,USDT,Tether USDt,"$91,739,542,215.53",$1.0004
2024-01-01,4,BNB,BNB,"$47,693,236,942.17",$314.4083
2024-01-01,5,SOL,Solana,"$47,090,921,460.19",$109.5087
2024-01-01,6,XRP,XRP,"$34,103,276,615.25",$0.6301
2024-01-01,7,USDC,USDC,"$24,546,920,962.79",$1.0001
2024-01-01,8,ADA,Cardano,"$22,037,177,200.27",$0.6231
2024-01-01,9,AVAX,Avalanche,"$15,300,673,675.52",$41.8645
2024-01-01,10,DOGE,Dogecoin,"$13,111,468,130.23",$0.0920
2024-01-01,11,DOT,Polkadot,"$11,144,036,783.20",$8.5989
2024-01-01,12,MATIC,Polygon,"$9,704,820,305.42",$1.0157
2024-01-01,13,TRX,TRON,"$9,521,523,025.37",$0.1078
2024-01-01,14,LINK,Chainlink,"$8,825,892,482.89",$15.5358
2024-01-01,15,TON,Toncoin,"$8,075,672,345.58",$2.3368
2024-01-01,16,SHIB,Shiba Inu,"$6,296,723,415.49",$0.0000
2024-01-01,17,ICP,Internet Computer,"$5,887,640,396.33",$12.9626
2024-01-01,18,LTC,Litecoin,"$5,533,602,216.62",$74.7319
2024-01-01,19,DAI,Dai,"$5,350,885,881.16",$1.0006
2024-01-01,20,BCH,Bitcoin Cash,"$5,226,247,275.62",$266.6159
2024-01-02,1,BTC,Bitcoin,"$880,631,637,169.91","$44,957.9701"
2024-01-02,2,ETH,Ethereum,"$283,136,372,945.05","$2,355.8365"
2024-01-02,3,USDT,Tether USDt,"$91,756,515,399.68",$1.0005
2024-01-02,4,BNB,BNB,"$47,343,608,597.98",$312.1038
2024-01-02,5,SOL,Solana,"$45,844,632,122.13",$106.6112
2024-01-02,6,XRP,XRP,"$33,847,840,411.96",$0.6254
2024-01-02,7,USDC,USDC,"$24,785,109,948.91",$1.0002
2024-01-02,8,ADA,Cardano,"$21,420,259,296.26",$0.6057
2024-01-02,9,AVAX,Avalanche,"$14,891,618,881.47",$40.6452
2024-01-02,10,DOGE,Dogecoin,"$12,995,866,437.63",$0.0912
2024-01-02,11,DOT,Polkadot,"$10,629,011,024.35",$8.4127
2024-01-02,12,TRX,TRON,"$9,569,615,786.48",$0.1084
2024-01-02,13,MATIC,Polygon,"$9,265,891,044.95",$0.9697
2024-01-02,14,LINK,Chainlink,"$8,615,402,260.84",$15.1653
2024-01-02,15,TON,Toncoin,"$7,902,481,851.20",$2.2866
2024-01-02,16,ICP,Internet Computer,"$6,338,828,372.14",$13.9558
2024-01-02,17,SHIB,Shiba Inu,"$6,221,638,015.44",$0.0000
2024-01-02,18,LTC,Litecoin,"$5,404,465,085.77",$72.9841
2024-01-02,19,DAI,Dai,"$5,346,466,889.02",$0.9997
2024-01-02,20,BCH,Bitcoin Cash,"$5,037,263,530.53",$256.9635
2024-01-03,1,BTC,Bitcoin,"$839,345,928,378.24","$42,848.1756"
2024-01-03,2,ETH,Ethereum,"$265,701,513,400.91","$2,210.7619"
2024-01-03,3,USDT,Tether USDt,"$92,108,445,356.97",$1.0007
2024-01-03,4,BNB,BNB,"$48,034,867,755.63",$316.6613
2024-01-03,5,SOL,Solana,"$42,397,055,220.05",$98.5944
2024-01-03,6,XRP,XRP,"$31,532,229,589.64",$0.5826
2024-01-03,7,USDC,USDC,"$24,916,102,582.69",$1.0002
2024-01-03,8,ADA,Cardano,"$19,711,309,023.87",$0.5573
2024-01-03,9,AVAX,Avalanche,"$13,481,321,921.59",$36.7953
2024-01-03,10,DOGE,Dogecoin,"$11,691,528,934.74",$0.0820
2024-01-03,11,DOT,Polkadot,"$9,695,374,189.91",$7.6418
2024-01-03,12,TRX,TRON,"$9,433,005,413.92",$0.1068
2024-01-03,13,MATIC,Polygon,"$8,180,229,373.82",$0.8554
2024-01-03,14,LINK,Chainlink,"$8,038,931,359.51",$14.1506
2024-01-03,15,TON,Toncoin,"$7,654,554,957.96",$2.2148
2024-01-03,16,ICP,Internet Computer,"$6,523,021,128.65",$14.3607
2024-01-03,17,SHIB,Shiba Inu,"$5,633,525,118.31",$0.0000
2024-01-03,18,DAI,Dai,"$5,346,092,172.82",$0.9997
2024-01-03,19,LTC,Litecoin,"$4,835,824,226.59",$65.3016
2024-01-03,20,BCH,Bitcoin Cash,"$4,586,520,271.42",$233.9603
2024-01-04,1,BTC,Bitcoin,"$865,482,457,123.11","$44,179.9217"
2024-01-04,2,ETH,Ethereum,"$272,702,497,877.08","$2,269.0382"
2024-01-04,3,USDT,Tether USDt,"$92,535,066,036.56",$1.0010
2024-01-04,4,BNB,BNB,"$49,087,346,605.11",$323.6000
2024-01-04,5,SOL,Solana,"$45,207,060,498.53",$105.0775
2024-01-04,6,XRP,XRP,"$31,837,800,582.18",$0.5882
2024-01-04,7,USDC,USDC,"$25,132,460,067.33",$1.0000
2024-01-04,8,ADA,Cardano,"$20,183,163,868.52",$0.5706
2024-01-04,9,AVAX,Avalanche,"$14,197,884,192.23",$38.7378
2024-01-04,10,DOGE,Dogecoin,"$11,990,244,372.01",$0.0841
2024-01-04,11,DOT,Polkadot,"$9,962,925,705.30",$7.8815
2024-01-04,12,TRX,TRON,"$9,455,273,521.26",$0.1071
2024-01-04,13,MATIC,Polygon,"$8,448,049,076.18",$0.8834
2024-01-04,14,LINK,Chainlink,"$8,268,137,657.09",$14.5540
2024-01-04,15,TON,Toncoin,"$7,506,213,348.31",$2.1719
2024-01-04,16,ICP,Internet Computer,"$6,307,022,258.02",$13.8697
2024-01-04,17,SHIB,Shiba Inu,"$5,898,442,245.96",$0.0000
2024-01-04,18,DAI,Dai,"$5,347,108,236.74",$0.9999
2024-01-04,19,LTC,Litecoin,"$4,924,162,070.41",$66.4914
2024-01-04,20,BCH,Bitcoin Cash,"$4,696,668,343.92",$239.5676
2024-01-05,1,BTC,Bitcoin,"$865,182,724,165.60","$44,162.6916"
2024-01-05,2,ETH,Ethereum,"$272,655,618,350.59","$2,268.6472"
2024-01-05,3,USDT,Tether USDt,"$92,889,690,454.40",$1.0009
2024-01-05,4,BNB,BNB,"$48,154,433,470.45",$317.4503
2024-01-05,5,SOL,Solana,"$43,103,713,121.13",$99.9788
2024-01-05,6,XRP,XRP,"$31,251,562,527.65",$0.5765
2024-01-05,7,USDC,USDC,"$25,348,955,833.86",$1.0001
2024-01-05,8,ADA,Cardano,"$19,147,092,652.39",$0.5412
2024-01-05,9,AVAX,Avalanche,"$13,355,428,801.12",$36.4348
2024-01-05,10,DOGE,Dogecoin,"$11,797,938,474.10",$0.0828
2024-01-05,11,DOT,Polkadot,"$9,414,691,956.37",$7.4456
2024-01-05,12,TRX,TRON,"$9,222,812,097.27",$0.1045
2024-01-05,13,MATIC,Polygon,"$8,147,604,467.00",$0.8520
2024-01-05,14,LINK,Chainlink,"$7,990,389,798.11",$14.0651
2024-01-05,15,TON,Toncoin,"$7,211,663,797.22",$2.0866
2024-01-05,16,ICP,Internet Computer,"$6,045,666,346.36",$13.2948
2024-01-05,17,SHIB,Shiba Inu,"$5,793,257,396.55",$0.0000
2024-01-05,18,DAI,Dai,"$5,349,315,621.19",$1.0003
2024-01-05,19,LTC,Litecoin,"$4,889,558,285.81",$66.0212
2024-01-05,20,BCH,Bitcoin Cash,"$4,697,188,489.18",$239.5829
2024-01-06,1,BTC,Bitcoin,"$861,821,994,190.94","$43,989.1941"
2024-01-06,2,ETH,Ethereum,"$269,408,524,949.53","$2,241.6247"
2024-01-06,3,USDT,Tether USDt,"$93,403,529,389.83",$1.0006
2024-01-06,4,BNB,BNB,"$46,689,680,898.81",$307.7945
2024-01-06,5,SOL,Solana,"$40,477,077,058.89",$93.8577
2024-01-06,6,XRP,XRP,"$30,819,279,073.87",$0.5685
2024-01-06,7,USDC,USDC,"$25,399,267,724.73",$1.0001
2024-01-06,8,ADA,Cardano,"$18,505,353,051.82",$0.5231
2024-01-06,9,AVAX,Avalanche,"$12,692,665,703.42",$34.6242
2024-01-06,10,DOGE,Dogecoin,"$11,498,412,596.29",$0.0807
2024-01-06,11,TRX,TRON,"$9,174,435,995.50",$0.1039
2024-01-06,12,DOT,Polkadot,"$9,029,067,857.31",$7.1388
2024-01-06,13,MATIC,Polygon,"$7,920,128,920.10",$0.8282
2024-01-06,14,LINK,Chainlink,"$7,628,663,535.60",$13.4284
2024-01-06,15,TON,Toncoin,"$7,477,771,572.69",$2.1636
2024-01-06,16,SHIB,Shiba Inu,"$5,660,211,233.96",$0.0000
2024-01-06,17,ICP,Internet Computer,"$5,469,500,284.06",$12.0274
2024-01-06,18,DAI,Dai,"$5,346,624,425.81",$0.9998
2024-01-06,19,LTC,Litecoin,"$4,864,227,075.82",$65.6761
2024-01-06,20,BCH,Bitcoin Cash,"$4,628,773,433.47",$236.0817
2024-01-07,1,BTC,Bitcoin,"$860,951,836,726.29","$43,943.0972"
2024-01-07,2,ETH,Ethereum,"$267,155,209,385.25","$2,222.8659"
2024-01-07,3,USDT,Tether USDt,"$93,612,632,116.03",$1.0006
2024-01-07,4,BNB,BNB,"$45,945,745,811.35",$302.8905
2024-01-07,5,SOL,Solana,"$38,549,501,330.29",$89.2763
2024-01-07,6,XRP,XRP,"$29,910,096,169.13",$0.5517
2024-01-07,7,USDC,USDC,"$25,384,180,608.91",$1.0000
2024-01-07,8,ADA,Cardano,"$17,481,939,718.42",$0.4942
2024-01-07,9,AVAX,Avalanche,"$12,327,992,435.22",$33.6297
2024-01-07,10,DOGE,Dogecoin,"$11,151,707,494.11",$0.0782
2024-01-07,11,TRX,TRON,"$9,084,136,731.20",$0.1029
2024-01-07,12,DOT,Polkadot,"$8,723,984,272.54",$6.8958
2024-01-07,13,MATIC,Polygon,"$7,657,181,541.10",$0.8007
2024-01-07,14,TON,Toncoin,"$7,645,517,159.00",$2.2121
2024-01-07,15,LINK,Chainlink,"$7,465,002,354.36",$13.1403
2024-01-07,16,DAI,Dai,"$5,345,558,128.26",$0.9996
2024-01-07,17,SHIB,Shiba Inu,"$5,312,986,857.28",$0.0000
2024-01-07,18,ICP,Internet Computer,"$5,121,268,878.91",$11.2575
2024-01-07,19,LTC,Litecoin,"$4,759,376,586.55",$64.2575
2024-01-07,20,BCH,Bitcoin Cash,"$4,552,245,288.18",$232.1685
2024-01-08,1,BTC,Bitcoin,"$920,302,445,948.27","$46,970.5023"
2024-01-08,2,ETH,Ethereum,"$280,393,647,671.16","$2,333.0327"
2024-01-08,3,USDT,Tether USDt,"$93,680,735,570.64",$1.0006
2024-01-08,4,BNB,BNB,"$46,189,890,296.34",$304.5004
2024-01-08,5,SOL,Solana,"$42,237,863,322.43",$97.7904
2024-01-08,6,XRP,XRP,"$31,329,451,310.68",$0.5779
2024-01-08,7,USDC,USDC,"$25,330,732,049.29",$0.9999
2024-01-08,8,ADA,Cardano,"$19,138,176,372.83",$0.5409
2024-01-08,9,AVAX,Avalanche,"$13,227,904,102.56",$36.0826
2024-01-08,10,DOGE,Dogecoin,"$11,601,189,017.20",$0.0814
2024-01-08,11,DOT,Polkadot,"$9,463,137,183.70",$7.4779
2024-01-08,12,TRX,TRON,"$9,205,827,845.04",$0.1043
2024-01-08,13,LINK,Chainlink,"$8,042,587,619.68",$14.1570
2024-01-08,14,MATIC,Polygon,"$8,057,762,869.05",$0.8426
2024-01-08,15,TON,Toncoin,"$7,861,064,136.70",$2.2744
2024-01-08,16,ICP,Internet Computer,"$6,233,046,162.49",$13.6979
2024-01-08,17,SHIB,Shiba Inu,"$5,644,449,271.12",$0.0000
2024-01-08,18,DAI,Dai,"$5,346,767,359.11",$0.9998
2024-01-08,19,LTC,Litecoin,"$5,022,493,326.37",$67.8065
2024-01-08,20,BCH,Bitcoin Cash,"$4,978,529,923.17",$253.9000
2024-01-09,1,BTC,Bitcoin,"$904,067,321,453.05","$46,139.7304"
2024-01-09,2,ETH,Ethereum,"$281,810,605,623.02","$2,344.8272"
2024-01-09,3,USDT,Tether USDt,"$94,106,796,182.16",$1.0002
2024-01-09,4,BNB,BNB,"$45,655,233,172.82",$300.9761
2024-01-09,5,SOL,Solana,"$42,936,802,212.18",$99.4092
2024-01-09,6,XRP,XRP,"$30,717,428,429.98",$0.5666
